#Aths.:
#Rákabil sett á dx=20.0mm Ddx=0.2mm
# Tímasetn.  Óvissa   Mism.timi   Óvissa     Hraði     Óvissa 
#   t(s)      Dt(s)    dt(s)      Ddt(s)     v(m/s)    Dv(m/s)
0.018291   0.000021   0.036582   0.000042   0.546717   0.006717
1.180254   0.000079   0.024010   0.000041   0.832986   0.008359
2.036033   0.000122   0.019186   0.000041   1.042427   0.010445
2.747020   0.000157   0.016456   0.000041   1.215362   0.012172
3.368926   0.000188   0.014634   0.000041   1.366680   0.013683
3.928895   0.000216   0.013317   0.000041   1.501840   0.015034
4.442539   0.000242   0.012298   0.000041   1.626281   0.016278
4.919830   0.000266   0.011493   0.000041   1.740190   0.017416
5.367629   0.000288   0.010828   0.000041   1.847063   0.018485
5.791183   0.000310   0.010404   0.000041   1.922338   0.019237
6.223220   0.000331   0.011133   0.000041   1.796461   0.017976
6.686924   0.000354   0.012001   0.000041   1.666528   0.016675
7.190252   0.000380   0.013121   0.000041   1.524274   0.015251
7.745367   0.000407   0.014609   0.000041   1.369019   0.013697
8.372280   0.000439   0.016758   0.000041   1.193460   0.011940
9.108447   0.000475   0.020240   0.000041   0.988142   0.009886
